Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0604,ACL127,C0604ACL127
Module Loop Blue,Blue,Module,C0604,ACL128,C0604ACL128
Module Loop Blue,Blue,Module,C0604,ACL135,C0604ACL135
Module Loop Blue,Blue,Module,C0604,ACL145,C0604ACL145
Module Loop Blue,Blue,Module,C0604,ACL210,C0604ACL210
Module Loop Blue,Blue,Module,C0604,BCL204,C0604BCL204
Module Loop Blue,Blue,Module,C0604,RDC131,C0604RD0131
Module Loop Blue,Blue,Module,C0604,RDC129,C0604RDC129
Module Loop Blue,Blue,Module,C0604,RDC136,C0604RDC136
Module Loop Blue,Blue,Module,C0604,RDC138,C0604RDC138
Module Loop Blue,Blue,Module,C0604,RDC140,C0604RDC140
Module Loop Blue,Blue,Module,C0604,RDC142,C0604RDC142
Module Loop Blue,Blue,Module,C0604,RDC146,C0604RDC146
Module Loop Blue,Blue,Module,C0604,RDC148,C0604RDC148
Module Loop Blue,Blue,Module,C0604,RDC150,C0604RDC150
Module Loop Blue,Blue,Module,C0604,RDC202,C0604RDC202
Module Loop Blue,Blue,Module,C0604,RDC205,C0604RDC205
Module Loop Blue,Blue,Module,C0604,RDC209,C0604RDC209
Module Loop Blue,Blue,Module,C0604,RDC211,C0604RDC211
Module Loop Blue,Blue,Module,C0604,RDC212,C0604RDC212
Module Loop Blue,Blue,Module,C0604,RDC214,C0604RDC214
Module Loop Blue,Blue,Module,C0604,STA124,C0604STA124
Module Loop Blue,Blue,Module,C0604,STA126,C0604STA126
Module Loop Blue,Blue,Module,C0604,STA130,C0604STA130
Module Loop Blue,Blue,Module,C0604,STA132,C0604STA132
Module Loop Blue,Blue,Module,C0604,STA139,C0604STA139
Module Loop Blue,Blue,Module,C0604,STA141,C0604STA141
Module Loop Blue,Blue,Module,C0604,STA144,C0604STA144
Module Loop Blue,Blue,Module,C0604,STA149,C0604STA149
Module Loop Blue,Blue,Module,C0604,STA151,C0604STA151
Module Loop Blue,Blue,Module,C0604,STA201,C0604STA201
Module Loop Blue,Blue,Module,C0604,STA203,C0604STA203
Module Loop Blue,Blue,Module,C0604,STA208,C0604STA208
Module Loop Blue,Blue,Module,C0604,STA213,C0604STA213
Module Loop Blue,Blue,Module,C0701,ACH086,C0701ACH086
Module Loop Blue,Blue,Module,C0701,BCH009,C0701BCH009
Module Loop Blue,Blue,Module,C0701,BCH021,C0701BCH021
Module Loop Blue,Blue,Module,C0701,BCL008,C0701BCL008
Module Loop Blue,Blue,Module,C0701,RDC003,C0701RDC003
Module Loop Blue,Blue,Module,C0701,RDC004,C0701RDC004
Module Loop Blue,Blue,Module,C0701,RDC007,C0701RDC007
Module Loop Blue,Blue,Module,C0701,STA005,C0701STA005
Module Loop Blue,Blue,Module,C0702,ACH023,C0702ACH023
Module Loop Blue,Blue,Module,C0702,ACH025,C0702ACH025
Module Loop Blue,Blue,Module,C0702,ACH033,C0702ACH033
Module Loop Blue,Blue,Module,C0702,ACH043,C0702ACH043
Module Loop Blue,Blue,Module,C0702,ACL027,C0702ACL027
Module Loop Blue,Blue,Module,C0702,ACL028,C0702ACL028
Module Loop Blue,Blue,Module,C0702,ACL035,C0702ACL035
Module Loop Blue,Blue,Module,C0702,ACL045,C0702ACL045
Module Loop Blue,Blue,Module,C0702,RDC031,C0702RD031
Module Loop Blue,Blue,Module,C0702,RDC029,C0702RDC029
Module Loop Blue,Blue,Module,C0702,RDC036,C0702RDC036
Module Loop Blue,Blue,Module,C0702,RDC038,C0702RDC038
Module Loop Blue,Blue,Module,C0702,RDC040,C0702RDC040
Module Loop Blue,Blue,Module,C0702,RDC042,C0702RDC042
Module Loop Blue,Blue,Module,C0702,RDC046,C0702RDC046
Module Loop Blue,Blue,Module,C0702,RDC048,C0702RDC048
Module Loop Blue,Blue,Module,C0702,RDC050,C0702RDC050
Module Loop Blue,Blue,Module,C0702,STA024,C0702STA024
Module Loop Blue,Blue,Module,C0702,STA026,C0702STA026
Module Loop Blue,Blue,Module,C0702,STA030,C0702STA030
Module Loop Blue,Blue,Module,C0702,STA032,C0702STA032
Module Loop Blue,Blue,Module,C0702,STA034,C0702STA034
Module Loop Blue,Blue,Module,C0702,STA039,C0702STA039
Module Loop Blue,Blue,Module,C0702,STA041,C0702STA041
Module Loop Blue,Blue,Module,C0702,STA044,C0702STA044
Module Loop Blue,Blue,Module,C0702,STA049,C0702STA049
Module Loop Blue,Blue,Module,C0702,STA051,C0702STA051
Module Loop Blue,Blue,Module,C0703,ACH186,C0703ACH186
Module Loop Blue,Blue,Module,C0703,BCH109,C0703BCH109
Module Loop Blue,Blue,Module,C0703,BCH121,C0703BCH121
Module Loop Blue,Blue,Module,C0703,BCL108,C0703BCL108
Module Loop Blue,Blue,Module,C0703,RDC010,C0703RDC010
Module Loop Blue,Blue,Module,C0703,RDC104,C0703RDC104
